ID,Manzana,Lote,Superficie,Cuota,Total,Estado
37-1-13,1,13,360.24,650,"84,500,000",Libre
37-1-14,1,14,360.24,650,"84,500,000",Libre
37-1-15,1,15,360.24,650,"84,500,000",Libre
37-1-16,1,16,360.24,650,"84,500,000",Libre
37-1-17,1,17,360.24,650,"84,500,000",Libre
37-1-18,1,18,360.24,650,"84,500,000",Libre
37-1-19,1,19,360.24,650,"84,500,000",Libre
37-3-3,3,3,360.24,650,"84,500,000",Libre
37-3-4,3,4,360.24,650,"84,500,000",Libre
37-3-6,3,6,360.24,600,"78,000,000",Libre
37-3-9,3,9,360.24,650,"84,500,000",Libre
37-4-1,4,1,389.91,750,"97,500,000",Recuperado
37-4-6,4,6,360.24,650,"84,500,000",Libre
37-5-8,5,8,360.24,550,"71,500,000",Libre
37-5-9,5,9,360.24,550,"71,500,000",Libre
37-5-10,5,10,360.24,550,"71,500,000",Libre
37-5-11,5,11,360.24,550,"71,500,000",Libre
37-5-12,5,12,360.24,550,"71,500,000",Libre
37-5-13,5,13,360.24,600,"78,000,000",Libre
37-5-14,5,14,360.24,600,"78,000,000",Libre
37-5-15,5,15,360.24,600,"78,000,000",Libre
37-5-16,5,16,360.24,600,"78,000,000",Libre
37-5-17,5,17,360.24,600,"78,000,000",Libre
37-6-1,6,1,389.91,700,"91,000,000",Libre
37-6-2,6,2,389.9,650,"84,500,000",Libre
37-6-6,6,6,360.24,600,"78,000,000",Libre
37-6-7,6,7,360.24,600,"78,000,000",Libre
37-6-8,6,8,360.24,650,"84,500,000",Libre
37-6-9,6,9,360.24,650,"84,500,000",Libre
37-6-10,6,10,360.24,650,"84,500,000",Libre
37-7-9,7,9,360.24,450,"58,500,000",Libre
37-7-10,7,10,360.24,450,"58,500,000",Libre
37-7-11,7,11,360.24,450,"58,500,000",Libre
37-7-12,7,12,360.24,450,"58,500,000",Libre
37-7-14,7,14,360.24,450,"58,500,000",Libre
37-7-15,7,15,360.24,450,"58,500,000",Libre
37-7-16,7,16,360.24,450,"58,500,000",Libre
37-8-3,8,3,389.92,600,"78,000,000",Libre
37-8-4,8,4,389.89,600,"78,000,000",Libre
37-8-5,8,5,360.24,500,"65,000,000",Libre
37-8-6,8,6,360.24,500,"65,000,000",Libre
37-8-7,8,7,360.24,500,"65,000,000",Libre
37-8-9,8,9,360.24,550,"71,500,000",Libre
37-1-1,1,1,,,,Vendido
37-1-2,1,2,,,,Vendido
37-1-3,1,3,,,,Vendido
37-1-4,1,4,,,,Vendido
37-1-5,1,5,,,,Vendido
37-1-6,1,6,,,,Vendido
37-1-7,1,7,,,,Vendido
37-1-8,1,8,,,,Vendido
37-1-9,1,9,,,,Vendido
37-1-10,1,10,,,,Vendido
37-1-11,1,11,,,,Vendido
37-1-12,1,12,,,,Vendido
37-2-1,2,1,,,,Vendido
37-2-2,2,2,,,,Vendido
37-2-3,2,3,,,,Vendido
37-2-7,2,7,,,,Vendido
37-2-8,2,8,,,,Vendido
37-2-9,2,9,,,,Vendido
37-3-1,3,1,,,,Vendido
37-3-2,3,2,,,,Vendido
37-3-5,3,5,,,,Vendido
37-4-2,4,2,,,,Vendido
37-4-2,4,2,,,,Vendido
37-4-3,4,3,,,,Vendido
37-4-4,4,4,,,,Vendido
37-4-5,4,5,,,,Vendido
37-4-7,4,7,,,,Vendido
37-4-8,4,8,,,,Vendido
37-4-9,4,9,,,,Vendido
37-4-10,4,10,,,,Vendido
37-5-1,5,1,,,,Vendido
37-5-2,5,2,,,,Vendido
37-5-3,5,3,,,,Vendido
37-5-4,5,4,,,,Vendido
37-5-5,5,5,,,,Vendido
37-5-6,5,6,,,,Vendido
37-5-7,5,7,,,,Vendido
37-5-18,5,18,,,,Vendido
37-5-19,5,19,,,,Vendido
37-6-3,6,3,,,,Vendido
37-6-4,6,4,,,,Vendido
37-6-5,6,5,,,,Vendido
37-7-1,7,1,,,,Vendido
37-7-2,7,2,,,,Vendido
37-7-3,7,3,,,,Vendido
37-7-3,7,3,,,,Vendido
37-7-4,7,4,,,,Vendido
37-7-5,7,5,,,,Vendido
37-7-6,7,6,,,,Vendido
37-7-7,7,7,,,,Vendido
37-7-8,7,8,,,,Vendido
37-7-13,7,13,,,,Vendido
37-7-17,7,17,,,,Vendido
37-7-18,7,18,,,,Vendido
37-7-19,7,19,,,,Vendido
37-8-1,8,1,,,,Vendido
37-8-2,8,2,,,,Vendido
37-8-8,8,8,,,,Vendido
37-8-10,8,10,,,,Vendido
37-1-1,1,1,,,,Cancelado
37-2-3,2,3,,,,Cancelado
37-3-5,3,5,,,,Cancelado
37-7-6,7,6,,,,Cancelado
37-2-4,2,4,,,,Reserva de propietario
37-2-5,2,5,,,,Reserva de propietario
37-2-6,2,6,,,,Reserva de propietario
37-3-7,,,,,,Plaza
37-3-8,,,,,,Plaza
